Keyword,Pincode,Search Status,Timestamp,Position,Is Sponsored,Product ID,Brand Name,Name,Pack Size,Price (Rs),MRP (Rs),Discount (Rs),Discount % of MRP,Inventory (stock),Max Cart,Sold Out,URL
dog food,560001,ok,2026-09-15T20:54:55,58,False,411002,Pedigree,Pedigree Adult Wet Dog Food -Chicken & Liver Chunks in Gravy,15 x 70 g,713,750,37,4.9,3,3,False,https://blinkit.com/prn/product/prid/411002
dog food,560001,ok,2026-09-15T20:54:55,59,False,767470,Active,Active Chicken Biryani Fresh Dog Food,2 x 100 g,101,110,9,8.2,2,2,False,https://blinkit.com/prn/product/prid/767470
dog food,560001,ok,2026-09-15T20:54:55,60,False,430959,Drools,Drools Absolute Calcium Bone Dog Supplement - 40 Pcs,600 g,414,450,36,8.0,3,3,False,https://blinkit.com/prn/product/prid/430959
face wash,560001,ok,2026-09-15T20:55:08,1,True,563200,Ghar Soaps,Ghar Soaps De-Tanning Magic Face Wash,100 ml,299,333,34,10.2,7,7,False,https://blinkit.com/prn/product/prid/563200
face wash,560001,ok,2026-09-15T20:55:08,2,False,500359,Minimalist,Minimalist Salicylic Acid + LHA 02% Face Cleanser,100 ml,299,299,0,0.0,8,8,False,https://blinkit.com/prn/product/prid/500359
face wash,560001,ok,2026-09-15T20:55:08,3,False,496038,Cetaphil,Cetaphil Gentle Skin Cleanser,118 ml,404,459,55,12.0,22,22,False,https://blinkit.com/prn/product/prid/496038
face wash,560001,ok,2026-09-15T20:55:08,4,True,707417,Novology,Novology Acne Deep Clearing Cleanser,150 g,585,650,65,10.0,2,2,False,https://blinkit.com/prn/product/prid/707417
face wash,560001,ok,2026-09-15T20:55:08,5,False,443558,Plum,Plum Green Tea Pore Cleansing Face Wash with Glycolic Acid,50 ml,180,199,19,9.5,2,2,False,https://blinkit.com/prn/product/prid/443558
face wash,560001,ok,2026-09-15T20:55:08,6,False,545079,Dot & Key,Dot & Key Vitamin C + E Super Bright Gel Face Wash,100 ml,215,249,34,13.7,5,5,False,https://blinkit.com/prn/product/prid/545079
face wash,560001,ok,2026-09-15T20:55:08,7,True,499591,Dot & Key,Dot & Key Cica Calming Clearing Gel Face Wash,100 ml,215,249,34,13.7,3,3,False,https://blinkit.com/prn/product/prid/499591
face wash,560001,ok,2026-09-15T20:55:08,8,False,544202,The Derma Co,The Derma Co Sali-Cinamide Anti-Acne Face Wash,80 ml,224,249,25,10.0,7,7,False,https://blinkit.com/prn/product/prid/544202
face wash,560001,ok,2026-09-15T20:55:08,9,False,19790,Himalaya,Himalaya Purifying Neem Face Wash,150 ml,184,279,95,34.1,7,7,False,https://blinkit.com/prn/product/prid/19790
face wash,560001,ok,2026-09-15T20:55:08,10,True,579490,Plum,Plum 2% Niacinamide & Rice Water Simply Bright Face Wash,100 ml,270,299,29,9.7,2,2,False,https://blinkit.com/prn/product/prid/579490
